episode,reward,avg_reward,max_reward,min_reward,entropy,policy_loss,value_loss
241,-10.0,-8.84,10.0,-21.0,0.9680604906752706,-0.029262953336001374,0.02717567526269704
242,3.0,-8.7,10.0,-21.0,1.131877709645778,-0.031434899457963184,0.039021064854750875
243,-20.0,-8.81,10.0,-21.0,0.9681318984366953,-0.029454873052600306,0.030650566055555828
244,6.0,-8.68,10.0,-21.0,0.7747828112915158,-0.023032651653920766,0.028581621321791317
245,-2.0,-8.53,10.0,-21.0,0.7515699835494161,-0.020778738224180415,0.02016026384444558
246,-8.0,-8.48,10.0,-21.0,0.8906567674130201,-0.0246986765996553,0.028182765658129938
247,-4.0,-8.43,10.0,-21.0,1.087904208805412,-0.03383876471343683,0.0390130643354496
248,-10.0,-8.38,10.0,-21.0,0.830565370619297,-0.026343055491452105,0.021383038932981435
249,-11.0,-8.29,10.0,-21.0,1.182505689561367,-0.03748985969286878,0.03919186306302436
250,2.0,-8.12,10.0,-21.0,1.1061288621276617,-0.030631331057520583,0.0335288018322899
251,-11.0,-8.08,10.0,-21.0,0.8077897308394313,-0.025858508015517145,0.030212731471692678
252,5.0,-7.94,10.0,-21.0,1.1386438747867942,-0.02938227243430447,0.05760840038419701
253,8.0,-7.77,10.0,-21.0,0.9465780537575483,-0.027592267826548778,0.0294851069629658
254,-12.0,-7.76,10.0,-21.0,1.1240023225545883,-0.03560487758659292,0.03445434255263535
255,-15.0,-7.78,10.0,-21.0,0.8854604572989047,-0.027663172455504537,0.025268181976571213
256,15.0,-7.67,15.0,-21.0,0.8773106662556529,-0.025170265726046637,0.027343316112819593
257,-4.0,-7.55,15.0,-21.0,0.8989628381095827,-0.02830700046615675,0.027989277507003862
258,-6.0,-7.43,15.0,-21.0,0.8986922898329794,-0.029017676832154393,0.024693196988664567
259,15.0,-7.18,15.0,-21.0,1.1427723891101778,-0.03338894061744213,0.04044049813091988
260,-5.0,-7.1,15.0,-21.0,1.0655554998666048,-0.03533132503798697,0.03130923465141677
261,5.0,-6.96,15.0,-21.0,0.9716341784223914,-0.029434126627165824,0.02682689167704666
262,-12.0,-7.03,15.0,-21.0,0.8409581775777042,-0.024841751153871883,0.02896951712318696
